id,latitude,longitude
84,676063.749,3360224.838
85,676063.774,3360224.792
86,676063.766,3360224.782
87,676063.629,3360224.734
88,676063.581,3360224.714
89,676063.598,3360224.705
90,676063.598,3360224.659
91,676063.583,3360224.584
92,676063.600,3360224.566
93,676063.608,3360224.566
94,676063.608,3360224.575
95,676063.600,3360224.575
96,676063.599,3360224.603
97,676063.592,3360224.584
98,676063.600,3360224.538
99,676063.699,3360224.428
100,676063.756,3360224.355
101,676063.796,3360224.374
102,676063.828,3360224.421
103,676063.876,3360224.413
104,676063.868,3360224.422
105,676063.851,3360224.477
106,676063.818,3360224.56
107,676063.760,3360224.643
108,676063.588,3360224.817
109,676063.360,3360224.971
110,676063.133,3360225.032
111,676063.213,3360225.062
112,676063.213,3360225.08
113,676063.108,3360225.06
114,676062.996,3360225.039
115,676062.939,3360225.057
116,676062.923,3360225.085
117,676062.882,3360225.093
118,676062.890,3360225.103
119,676062.890,3360225.131
120,676062.889,3360225.159
121,676062.905,3360225.168
122,676062.905,3360225.196
123,676062.841,3360225.176
124,676062.694,3360225.248
125,676062.466,3360225.44
126,676062.262,3360225.567
127,676062.172,3360225.677
128,676061.923,3360226.091
129,676061.674,3360226.533
130,676061.572,3360226.866
131,676061.399,3360227.123
132,676061.202,3360227.306
133,676061.390,3360227.179
134,676061.398,3360227.16
135,676061.359,3360227.113
136,676061.400,3360227.058
137,676061.349,3360227.225
138,676061.282,3360227.372
139,676061.385,3360227.467
140,676061.465,3360227.505
141,676061.464,3360227.561
142,676061.488,3360227.571
143,676061.606,3360227.758
144,676061.613,3360227.824
145,676061.564,3360227.888
146,676061.434,3360227.923
147,676061.301,3360228.172
148,676061.181,3360228.644
149,676061.092,3360229.181
150,676061.002,3360229.737
151,676060.871,3360230.339
152,676060.832,3360230.803
153,676060.837,3360230.952
154,676060.726,3360230.848
155,676060.632,3360230.717
156,676060.594,3360230.521
157,676060.555,3360230.437
158,676060.573,3360230.353
159,676060.574,3360230.316
160,676060.598,3360230.326
161,676060.646,3360230.345
162,676060.702,3360230.346
163,676060.743,3360230.319
164,676060.760,3360230.273
165,676060.792,3360230.236
166,676060.809,3360230.19
167,676060.842,3360230.134
168,676060.835,3360230.106
169,676060.835,3360230.088
170,676060.870,3360229.949
171,676060.817,3360229.734
172,676060.773,3360229.92
173,676060.784,3360230.254
174,676060.615,3360230.252
175,676060.659,3360229.992
176,676060.628,3360229.964
177,676060.603,3360230.01
178,676060.618,3360230.038
179,676060.626,3360230.085
180,676060.657,3360230.141
181,676060.681,3360230.178
182,676060.688,3360230.225
183,676060.695,3360230.281
184,676060.727,3360230.281
185,676060.751,3360230.282
186,676060.816,3360230.292
187,676060.896,3360230.293
188,676060.806,3360230.366
189,676060.766,3360230.366
190,676060.910,3360230.424
191,676060.982,3360230.481
192,676061.014,3360230.509
193,676061.037,3360230.537
194,676061.054,3360230.519
195,676061.094,3360230.51
196,676061.077,3360230.575
197,676060.931,3360230.619
