track_fid,track_seg_,track_se_1,ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,gpxtpx_Tra,Lat,Long
0,0,124,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237776,-91.17823038
0,0,125,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237843,-91.17823038
0,0,126,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237919,-91.17823055
0,0,127,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40237994,-91.17823072
0,0,128,14.08,9/9/2020 1:08,,,,,,,,,,,,,,,,,,,,,,0,30.40238061,-91.17823089
0,0,129,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238103,-91.17823089
0,0,130,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.4023817,-91.17823105
0,0,131,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238212,-91.17823139
0,0,132,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238237,-91.17823172
0,0,133,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238254,-91.17823189
0,0,134,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238237,-91.17823181
0,0,135,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.4023822,-91.17823181
0,0,136,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238187,-91.17823181
0,0,137,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238136,-91.17823172
0,0,138,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238128,-91.17823189
0,0,139,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.4023812,-91.17823181
0,0,140,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238128,-91.17823147
0,0,141,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238136,-91.17823114
0,0,142,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238136,-91.17823072
0,0,143,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238136,-91.17822988
0,0,144,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238128,-91.17822904
0,0,145,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238128,-91.17822829
0,0,146,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.4023812,-91.17822812
0,0,147,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.4023812,-91.17822862
0,0,148,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238145,-91.17822896
0,0,149,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.4023817,-91.17822913
0,0,150,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238229,-91.17822954
0,0,151,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238271,-91.1782298
0,0,152,13.6,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238338,-91.1782298
